BOROUGH,SITE_NUMBER,AD,ED
1,10438,69,62
5,S0055,63,48
5,S0055,62,72
1,10577,66,91
3,11410,51,40
1,11587,75,7
1,M0175,69,89
1,10593,69,64
2,11737,80,93
1,M0215,70,66
1,M0082,71,71
1,11457,73,16
2,11759,82,93
1,10275,72,32
2,11757,82,68
2,11746,84,7
1,M0093,72,20
1,M0240,71,39
5,11780,62,1
3,B0326,50,17
4,Q0088,29,72
1,M0128,74,63
1,M0248,70,80
3,B0326,50,16
2,11737,80,25
1,M0078,73,30
3,11537,55,103
2,X0003,87,43
1,11592,65,40
4,Q0040,40,46
4,10206,27,80
1,M0156,74,44
1,11587,74,56
2,11754,82,96
1,M0002,74,43
1,M0300,71,81
4,Q0145,30,68
1,11587,75,6
2,X0203,85,76
1,10565,66,39
2,X0118,78,67
2,X0201,77,69
1,11457,73,20
1,11592,65,83
4,Q0012,32,79
1,11194,73,17
1,11457,73,21
2,11574,82,41
2,11599,81,80
1,10176,73,27
2,11758,82,101
3,11477,56,51
1,M0191,74,10
2,X0203,85,75
1,11529,67,23
4,Q0205,25,68
1,M0093,72,17
1,11481,75,67
1,M0018,73,76
1,M0083,73,24
1,11457,73,18
3,B0169,46,23
2,10212,82,114
1,10176,73,35
1,10527,75,68
2,X0132,83,30
3,11492,55,94
2,11114,77,74
1,10569,69,49
3,11410,51,53
2,10212,82,112
2,11574,82,42
3,B0386,44,48
2,X0157,79,86
1,M0065,66,92
2,11754,82,90
1,M0248,70,88
1,M0039,73,49
1,11287,66,43
3,B0304,46,48
5,11780,62,2
1,M0019,66,87
3,11433,54,45
2,11759,82,109
3,11515,51,51
1,M0326,69,32
2,11754,82,98
3,11591,57,45
4,11182,37,76
1,M0019,66,85
3,B0046,56,64
1,M0072,69,27
4,Q0184,37,77
3,11251,44,70
2,11754,82,91
1,11590,71,38
4,Q0147,34,37
2,11582,77,2
4,Q0282,27,11
2,X0213,79,81
5,10012,64,62
1,11399,66,65
1,11399,65,87
1,M0067,68,97
2,X0203,85,72
3,11251,44,69
2,X0203,85,77
1,M0254,72,33
1,M0191,74,16
2,X0035,77,76
1,10147,69,83
3,11433,54,42
5,11240,61,69
1,M0218,76,11
2,X0013,77,75
1,10176,73,29
3,B0010,56,62
1,M0067,68,35
4,Q0282,27,10
3,11433,55,45
1,M0326,69,18
2,11757,82,77
1,10176,73,33
2,X0026,79,85
3,B0185,51,35
1,11517,70,19
4,11182,36,64
1,11399,65,7
1,10710,69,8
1,10516,66,24
2,11599,81,83
2,11759,82,94
5,10006,64,22
4,Q0025,31,8
1,M0192,75,13
1,11587,75,5
1,M0255,72,79
3,11593,51,55
1,11457,73,19
1,11225,65,90
4,Q0274,23,85
1,11587,75,1
1,11225,65,13
1,11399,65,8
2,11582,77,4
4,Q0294,38,63
1,10148,70,93
2,11582,84,12
1,M0057,67,46
1,11481,67,2
1,M0187,66,7
1,11399,65,6
1,11457,73,22
2,X0203,85,78
1,11457,73,23
4,11745,27,9
4,Q0064,23,84
3,11591,57,46
3,B0067,55,44
2,10087,86,66
1,11529,75,86
3,B0314,64,84
3,11593,51,41
2,11599,81,84
4,Q0025,31,78
4,Q0197,31,79
4,Q0248,27,79
2,X0104,78,66
1,10176,73,32
4,11189,30,47
2,11738,79,14
1,M0317,69,82
2,11737,80,23
1,M0072,69,47
1,M0078,73,31
1,M0212,75,79
4,10203,30,45
1,11529,67,18
1,10176,73,28
1,M0248,70,90
1,11748,67,88
1,M0135,69,91
3,11251,44,68
2,11496,78,65
5,10634,62,76
2,11746,84,8
2,X0015,77,77
