,BOROUGH,SITE_STATUS,SITE_NAME,SITE_NUMBER,Entrance,lng,lat,Entrance_Type,All_Election_Districts
0,,A,PS 64 Pura Belpre,X0035,1425 Walton Avenue Bronx 10452,-73.91561,40.840293,Voter,"[76, 15, 67, 16, 12, 14, 79, 13]"
1,,A,PS 64 Pura Belpre,X0035,1425 Walton Avenue Bronx 10452,-73.91561,40.840293,Handicap,"[76, 15, 67, 16, 12, 14, 79, 13]"
2,MANHATTAN,A,JHS 56,11592,220 Henry Street New York 10002,-73.98631,40.713604,Voter,"[40, 83, 43, 41]"
3,MANHATTAN,A,JHS 56,11592,Montgormey Street (NASA Space Double Doors) New York 10002,-73.978241,40.756268,Handicap,"[40, 83, 43, 41]"
4,MANHATTAN,A,The River School/PS 281,11485,425 East 35 Street New York 10016,-73.972493,40.744335,Voter,"[86, 84, 103, 95]"
5,MANHATTAN,A,The River School/PS 281,11485,425 East 35 Street New York 10016,-73.972493,40.744335,Handicap,"[86, 84, 103, 95]"
6,BRONX,A,PS 126,11582,175 West 166 Street Bronx 10452,-73.928391,40.835952,Voter,"[2, 4, 12, 5, 1]"
7,BRONX,A,PS 126,11582,175 West 166 Street Bronx 10452,-73.928391,40.835952,Handicap,"[2, 4, 12, 5, 1]"
8,BROOKLYN,A,Central Brooklyn Public Library,11630,10 Grand Army Plaza Brooklyn 11238,-73.96762,40.67374,Voter,"[77, 72, 113, 73]"
9,BROOKLYN,A,Central Brooklyn Public Library,11630,10 Grand Army Plaza Brooklyn 11238,-73.96762,40.67374,Handicap,"[77, 72, 113, 73]"
10,QUEENS,A,High School for Construction Trades,11597,94-06 104 Street Ozone Park 11416,-73.840803,40.689381,Voter,"[43, 20, 42, 44, 37, 46]"
11,QUEENS,A,High School for Construction Trades,11597,94-06 104 Street Ozone Park 11416,-73.840803,40.689381,Handicap,"[43, 20, 42, 44, 37, 46]"
12,QUEENS,A,Queens Library at Elmhurst,11632,86-07 Broadway Elmhurst 11373,-73.87685,40.73749,Voter,"[33, 6]"
13,QUEENS,A,Queens Library at Elmhurst,11632,86-07 Broadway Elmhurst 11373,-73.87685,40.73749,Handicap,"[33, 6]"
